dataset,family,volatility,metric,delta,wins,n_origins,improved_fraction,lower_cut,upper_cut
macro_crypto,semantic_vs_arm90,medium,mse,-1.2575934931934228e-05,20,52,0.38461538461538464,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,medium,mae,-0.00014656639072443864,19,52,0.36538461538461536,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,medium,mape,-0.014572188504586362,19,52,0.36538461538461536,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,high,mse,-1.771894144177382e-05,22,68,0.3235294117647059,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,high,mae,-0.00029861746248630884,27,68,0.39705882352941174,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,high,mape,-0.030369036376319197,27,68,0.39705882352941174,0.005878459171153649,0.008223903572622357
macro_equities,route_vs_dlinear,low,mse,5.408231028455335e-05,34,40,0.85,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,low,mae,0.0023115966676010027,32,40,0.8,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,low,mape,0.2293502345978525,32,40,0.8,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,medium,mse,7.0982657370367e-05,33,42,0.7857142857142857,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,medium,mae,0.003005169253185313,34,42,0.8095238095238095,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,medium,mape,0.2986314986426142,34,42,0.8095238095238095,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,high,mse,9.443752220080106e-05,28,35,0.8,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,high,mae,0.004145357627717275,29,35,0.8285714285714286,0.002796342151878821,0.004044119873608216
macro_equities,route_vs_dlinear,high,mape,0.41179175089369663,29,35,0.8285714285714286,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,low,mse,1.2749742199554687e-05,27,40,0.675,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,low,mae,0.0005744164640848638,28,40,0.7,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,low,mape,0.058012097220773925,28,40,0.7,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,medium,mse,1.3847773763278095e-05,23,42,0.5476190476190477,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,medium,mae,0.0003577883556844874,22,42,0.5238095238095238,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,medium,mape,0.035833842480062765,22,42,0.5238095238095238,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,high,mse,1.5324778092850833e-05,24,35,0.6857142857142857,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,high,mae,0.0007111781507985411,22,35,0.6285714285714286,0.002796342151878821,0.004044119873608216
macro_equities,semantic_vs_arm90,high,mape,0.0702586552156973,22,35,0.6285714285714286,0.002796342151878821,0.004044119873608216
