dataset,method,metric,mean,std,min,max,seed_2026,seed_2027,seed_2028
macro_crypto,NSRC,mae,0.020903351463685504,0.0003236774201981807,0.020578005313267554,0.021225333936458826,0.020906715141330124,0.020578005313267554,0.021225333936458826
macro_crypto,NSRC,mape,2.101719382545631,0.030118567937964566,2.071448557002644,2.1316833480227437,2.1020262426115046,2.071448557002644,2.1316833480227437
macro_crypto,NSRC_Route,mse,0.0008322753278113916,0.0,0.0008322753278113916,0.0008322753278113916,0.0008322753278113916,0.0008322753278113916,0.0008322753278113916
macro_crypto,NSRC_Route,mae,0.020760016773289782,0.0,0.020760016773289782,0.020760016773289782,0.020760016773289782,0.020760016773289782,0.020760016773289782
macro_crypto,NSRC_Route,mape,2.0895993181245927,0.0,2.0895993181245927,2.0895993181245927,2.0895993181245927,2.0895993181245927,2.0895993181245927
macro_equities,DLinear,mse,0.0002013907516722237,3.371939598780393e-05,0.0001785027729436668,0.00024011299222812316,0.00024011299222812316,0.00018555648984488118,0.0001785027729436668
macro_equities,DLinear,mae,0.011487129506109334,0.0007910033083532883,0.010844642832408264,0.012370595565209022,0.012370595565209022,0.011246150120710716,0.010844642832408264
macro_equities,DLinear,mape,1.1508347148848155,0.07840411451710994,1.0868289776625595,1.2382871495464431,1.2382871495464431,1.1273880174454438,1.0868289776625595
macro_equities,ARM90,mse,0.00016831122602579106,6.311796748005968e-06,0.0001645568156530761,0.00017559833696484669,0.00017559833696484669,0.00016477852545945042,0.0001645568156530761
macro_equities,ARM90,mae,0.010404325866736995,0.00015796144764154322,0.010309261390467275,0.010586668630999028,0.010586668630999028,0.010317047578744685,0.010309261390467275
macro_equities,ARM90,mape,1.0446878507458246,0.015792347949966094,1.035153452313536,1.0629168361983337,1.0629168361983337,1.0359932637256044,1.035153452313536
macro_equities,NSRC,mse,0.0001543970087669052,3.5201550092946293e-06,0.0001518361354488267,0.0001584111127751344,0.0001584111127751344,0.00015294377807675448,0.0001518361354488267
macro_equities,NSRC,mae,0.009866761723317395,9.605650182277344e-05,0.009788333646983522,0.009973899462608127,0.009973899462608127,0.009838052060360538,0.009788333646983522
macro_equities,NSRC,mape,0.9909736780488739,0.009495793650921226,0.9831677336357554,1.0015452723713845,1.0015452723713845,0.9882080281394823,0.9831677336357554
macro_equities,NSRC_Route,mse,0.00012916957818533836,0.0,0.00012916957818533836,0.00012916957818533836,0.00012916957818533836,0.00012916957818533836,0.00012916957818533836
macro_equities,NSRC_Route,mae,0.008377997093221061,0.0,0.008377997093221061,0.008377997093221061,0.008377997093221061,0.008377997093221061,0.008377997093221061
macro_equities,NSRC_Route,mape,0.8420377609687192,0.0,0.8420377609687192,0.8420377609687192,0.8420377609687192,0.8420377609687192,0.8420377609687192
