dataset,asset,candidate,reference,metric,n,delta,ci_low,ci_high,p_two_sided,block_days,resamples,interpretation
celebrity,Pooled,Time-MoE,GPT4TS,mse,288,-0.00045376763760537485,-0.008001244667158803,-0.0010271808548429936,0.9818,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,GPT4TS,mae,288,-0.003903603836618088,-0.0585196745602621,-0.01586873798734611,0.997,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,GPT4TS,mape,288,-0.3799583149517703,-5.754613210780668,-1.5171745182334624,0.9966,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,PatchTST,mse,163,-6.254396236787888e-05,-0.0008123247838110563,7.022238521470625e-05,0.8908,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,PatchTST,mae,163,-0.001124125362539584,-0.01687276987251879,0.005026346920379279,0.8912,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,PatchTST,mape,163,-0.11122698368029145,-1.6694738225440382,0.5009099235761114,0.8916,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,PatchTST,mse,98,-0.0004636931221381678,-0.003866389687752679,0.0006717932288020673,0.7774,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,PatchTST,mae,98,-0.0035902499949851015,-0.026802714721396052,0.0022643641836341813,0.7976,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,PatchTST,mape,98,-0.3494225430636643,-2.6174815010917607,0.24123087687301878,0.7974,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,PatchTST,mse,15,-0.0009969435514185596,-0.004814522329097861,0.002322163450551461,0.6022,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,PatchTST,mae,15,0.0016526877880096431,-0.011627727291650243,0.015759446761674352,0.6784,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,PatchTST,mape,15,0.251767449451723,-0.9848097291598698,1.6142283527891772,0.6388,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,PatchTST,mse,12,-8.794455901961508e-06,-0.0001637096557742949,0.0001426029616095873,0.8414,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,PatchTST,mae,12,-0.00031902061568366176,-0.003497101614872615,0.0027314521372318263,0.8102,7,4999,positive favors Time-MoE; descriptive comparison
