dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
news,Time-MoE,0,Pooled,event,61,1-6,0.00010528644190984594,0.006960365991443711,0.6956097232865777
news,Time-MoE,0,Pooled,event,61,7-12,0.00035325895684568175,0.013445891607355572,1.3373326585519663
news,Time-MoE,0,Pooled,event,61,13-24,0.0006217015024355883,0.017479038657449233,1.7257759014952865
macro_crypto,Time-MoE,0,BTC,all,1415,avg24,0.0005257023187184062,0.01584437396135993,1.5985341260967498
macro_crypto,Time-MoE,0,BTC,all,1415,1-6,0.0001428159848506791,0.007903140874577354,0.7934078490606813
macro_crypto,Time-MoE,0,BTC,all,1415,7-12,0.0004281283448311999,0.014927999564699907,1.5029804135099747
macro_crypto,Time-MoE,0,BTC,all,1415,13-24,0.0007659324725958729,0.02027317770308123,2.048874120908172
macro_crypto,Time-MoE,0,BTC,event,41,avg24,0.0007571376545787561,0.019449762636568488,1.9578688974653704
macro_crypto,Time-MoE,0,BTC,event,41,1-6,0.00022057900106717875,0.010352524800029227,1.036263333614843
macro_crypto,Time-MoE,0,BTC,event,41,7-12,0.000492652557105008,0.01709813800284533,1.7082761295254976
macro_crypto,Time-MoE,0,BTC,event,41,13-24,0.0011576595300714187,0.025174193871699696,2.543468063360571
macro_crypto,Time-MoE,0,ETH,all,1415,avg24,0.0011474768115178602,0.023580779466949166,2.3868269410398093
macro_crypto,Time-MoE,0,ETH,all,1415,1-6,0.0003211313124636016,0.011643298221280353,1.171318238994314
macro_crypto,Time-MoE,0,ETH,all,1415,7-12,0.0009297806528651207,0.021870394961994024,2.2073263093899937
macro_crypto,Time-MoE,0,ETH,all,1415,13-24,0.0016694976403713586,0.030404712342261143,3.084331607887465
macro_crypto,Time-MoE,0,ETH,event,41,avg24,0.0016331861309361916,0.031230177942330274,3.1481836770554152
macro_crypto,Time-MoE,0,ETH,event,41,1-6,0.0006266879642955235,0.01860566909720258,1.8639464958395302
macro_crypto,Time-MoE,0,ETH,event,41,7-12,0.0012439236838690058,0.027868859167021465,2.790440604450885
macro_crypto,Time-MoE,0,ETH,event,41,13-24,0.0023310664377901185,0.039223091752548525,3.9691738039656226
macro_crypto,Time-MoE,0,SOL,all,1415,avg24,0.0011734990508360263,0.02414329520419012,2.4518614547284487
macro_crypto,Time-MoE,0,SOL,all,1415,1-6,0.0003377398284088305,0.012393365423025035,1.2473246322197016
macro_crypto,Time-MoE,0,SOL,all,1415,7-12,0.0009419384732397242,0.022590306783873845,2.2845348597758135
macro_crypto,Time-MoE,0,SOL,all,1415,13-24,0.001707158950847775,0.030794754304930796,3.13779316345914
macro_crypto,Time-MoE,0,SOL,event,41,avg24,0.0015251466212634326,0.02942226578791936,2.9597187577085458
macro_crypto,Time-MoE,0,SOL,event,41,1-6,0.0005336438314001927,0.016655449460192425,1.6638675280090254
macro_crypto,Time-MoE,0,SOL,event,41,7-12,0.0011788288533910586,0.027286415177632153,2.7159233128134574
macro_crypto,Time-MoE,0,SOL,event,41,13-24,0.0021940569001312393,0.03687359925692644,3.72954209500585
macro_crypto,Time-MoE,0,DOGE,all,1415,avg24,0.0012479989061072172,0.025211310391923144,2.556635566404646
macro_crypto,Time-MoE,0,DOGE,all,1415,1-6,0.00034557796797837477,0.012254500438243115,1.2339639740585657
macro_crypto,Time-MoE,0,DOGE,all,1415,7-12,0.0009903471868464417,0.023106871834913327,2.3365986554210725
macro_crypto,Time-MoE,0,DOGE,all,1415,13-24,0.001828035234802026,0.032741934647268066,3.3279898180694736
macro_crypto,Time-MoE,0,DOGE,event,41,avg24,0.001429338149054398,0.027815963982081995,2.8301048968512457
macro_crypto,Time-MoE,0,DOGE,event,41,1-6,0.0005999390840869805,0.018059589998508856,1.817407788326102
macro_crypto,Time-MoE,0,DOGE,event,41,7-12,0.0010024292338800488,0.024168623414466052,2.432195611289209
macro_crypto,Time-MoE,0,DOGE,event,41,13-24,0.0020574921391252813,0.03451782125767654,3.5354080938948353
macro_crypto,Time-MoE,0,Pooled,all,5660,avg24,0.0010236692717948772,0.022194939756105588,2.248464522067413
macro_crypto,Time-MoE,0,Pooled,all,5660,1-6,0.0002868162734253715,0.011048576239281465,1.1115036735833155
macro_crypto,Time-MoE,0,Pooled,all,5660,7-12,0.0008225486644456217,0.020623893286370275,2.0828600595242137
macro_crypto,Time-MoE,0,Pooled,all,5660,13-24,0.001492656074654258,0.028553644749385307,2.8997471775810624
macro_crypto,Time-MoE,0,Pooled,event,164,avg24,0.0013362021389581944,0.02697954258722503,2.7239690572701445
macro_crypto,Time-MoE,0,Pooled,event,164,1-6,0.0004952124702124689,0.01591830833898327,1.595371286447375
macro_crypto,Time-MoE,0,Pooled,event,164,7-12,0.0009794585820612804,0.02410550894049125,2.4117089145197625
macro_crypto,Time-MoE,0,Pooled,event,164,13-24,0.0019350687517795144,0.0339471765347128,3.44439801405672
macro_equities,Time-MoE,0,SPX,all,250,avg24,0.00011784727855045436,0.00860229072968165,0.8609820928718651
macro_equities,Time-MoE,0,SPX,all,250,1-6,4.2299868685958584e-05,0.004730119943618775,0.4738866336742692
macro_equities,Time-MoE,0,SPX,all,250,7-12,0.00010439440633064597,0.008377568642298381,0.8391314936409969
macro_equities,Time-MoE,0,SPX,all,250,13-24,0.00016234741959260645,0.010650737166404724,1.0654551220860975
macro_equities,Time-MoE,0,SPX,event,39,avg24,0.000123037562221514,0.008735283126688411,0.8764218970807529
macro_equities,Time-MoE,0,SPX,event,39,1-6,6.310030804005091e-05,0.0053449894627954206,0.5378374754496391
macro_equities,Time-MoE,0,SPX,event,39,7-12,0.00012768115648804912,0.009349396086146688,0.9386001806435649
macro_equities,Time-MoE,0,SPX,event,39,13-24,0.00015068439217897798,0.010123373478905767,1.0146249661149038
macro_equities,Time-MoE,0,NDX,all,250,avg24,0.0002243175684509738,0.011649489770332972,1.1712595455067036
macro_equities,Time-MoE,0,NDX,all,250,1-6,8.255233467373558e-05,0.006493418534596761,0.6516033922174275
macro_equities,Time-MoE,0,NDX,all,250,7-12,0.00019678865499088498,0.011129703720410665,1.1190292818369283
macro_equities,Time-MoE,0,NDX,all,250,13-24,0.0003089646420696373,0.014487418413162232,1.4572027539862293
macro_equities,Time-MoE,0,NDX,event,39,avg24,0.0002451607928898266,0.012256977140394032,1.2357961626396883
macro_equities,Time-MoE,0,NDX,event,39,1-6,0.00011564309464150502,0.007150774328117697,0.7221194657584062
macro_equities,Time-MoE,0,NDX,event,39,7-12,0.00025067863185986776,0.012595154790796785,1.272893672987735
macro_equities,Time-MoE,0,NDX,event,39,13-24,0.0003071607225289669,0.014640989721330822,1.4740857559063063
macro_equities,Time-MoE,0,INDU,all,296,avg24,0.00012773138259495302,0.008701602617899576,0.8690168176996912
macro_equities,Time-MoE,0,INDU,all,296,1-6,3.435382761975949e-05,0.004447124629944294,0.4445387823378643
macro_equities,Time-MoE,0,INDU,all,296,7-12,0.000101351676326085,0.008177640671665603,0.8169030713606947
macro_equities,Time-MoE,0,INDU,all,296,13-24,0.00018761001321698377,0.011090822584994204,1.107312708550103
macro_equities,Time-MoE,0,INDU,event,39,avg24,0.00014191767259021898,0.009261021884078654,0.925119118336428
macro_equities,Time-MoE,0,INDU,event,39,1-6,4.582040811841734e-05,0.004826361552262917,0.4836867080102896
macro_equities,Time-MoE,0,INDU,event,39,7-12,0.0001130775797869529,0.008851286437776353,0.883556791777678
macro_equities,Time-MoE,0,INDU,event,39,13-24,0.00020438635122775286,0.011683219773137672,1.1666164867788724
macro_equities,Time-MoE,0,Pooled,all,796,avg24,0.0001549619359277175,0.00959625565314313,0.9614188286856167
macro_equities,Time-MoE,0,Pooled,all,796,1-6,5.198716559720144e-05,0.005178685314092205,0.5187889271921257
macro_equities,Time-MoE,0,Pooled,all,796,7-12,0.00013228123306897475,0.009167587599862161,0.9187732449651344
macro_equities,Time-MoE,0,Pooled,all,796,13-24,0.00021778967252234692,0.012019374849309074,1.2040565712926032
macro_equities,Time-MoE,0,Pooled,event,117,avg24,0.00017003867590051987,0.010084427383720364,1.0124457260189563
macro_equities,Time-MoE,0,Pooled,event,117,1-6,7.485460359999109e-05,0.005774041781058678,0.581214549739445
macro_equities,Time-MoE,0,Pooled,event,117,7-12,0.0001638124560449566,0.01026527910490661,1.0316835484696592
macro_equities,Time-MoE,0,Pooled,event,117,13-24,0.0002207438219785659,0.012149194324458087,1.2184424029333607
