dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
celebrity,Time-MoE,0,Pooled,all,2876,16,0.001788817276222903,0.028745724548882336,2.8279842534509956
celebrity,Time-MoE,0,Pooled,all,2876,17,0.0019014083914167144,0.029492236580570153,2.898379886957699
celebrity,Time-MoE,0,Pooled,all,2876,18,0.002013229679150061,0.030282584056569074,2.973721767676748
celebrity,Time-MoE,0,Pooled,all,2876,19,0.0021295140679938557,0.031026803568440783,3.0442917033657886
celebrity,Time-MoE,0,Pooled,all,2876,20,0.0022445476300417015,0.031723841941903794,3.1095425170104707
celebrity,Time-MoE,0,Pooled,all,2876,21,0.002362442503022947,0.032385456068791,3.170840776113156
celebrity,Time-MoE,0,Pooled,all,2876,22,0.002480664279333798,0.033063526424645384,3.233722404639984
celebrity,Time-MoE,0,Pooled,all,2876,23,0.002597505747004239,0.0336821999644371,3.2904093275817705
celebrity,Time-MoE,0,Pooled,all,2876,24,0.0027149810141211704,0.034296832740389756,3.346314268748692
celebrity,Time-MoE,0,Pooled,event,288,1,6.836965874125312e-05,0.005503368046548631,0.5517046417437462
celebrity,Time-MoE,0,Pooled,event,288,2,0.00015697593700516845,0.008408374049597316,0.8414218822586425
celebrity,Time-MoE,0,Pooled,event,288,3,0.00020175881404802285,0.00986285362806585,0.9838663519816833
celebrity,Time-MoE,0,Pooled,event,288,4,0.0003060422010636474,0.011709726105133692,1.1644433195206014
celebrity,Time-MoE,0,Pooled,event,288,5,0.0004330073248033855,0.013823185529973771,1.3725731795360523
celebrity,Time-MoE,0,Pooled,event,288,6,0.0005946194405464449,0.015873928036954667,1.57680762489508
celebrity,Time-MoE,0,Pooled,event,288,7,0.0007779943272019486,0.01821151975956228,1.8036720044088321
celebrity,Time-MoE,0,Pooled,event,288,8,0.0009334858242765969,0.019636897784140375,1.9415858124174585
celebrity,Time-MoE,0,Pooled,event,288,9,0.0010713895049593056,0.02115447839928998,2.0954809038253766
celebrity,Time-MoE,0,Pooled,event,288,10,0.0011639855110005105,0.02223302920659383,2.202353700857466
celebrity,Time-MoE,0,Pooled,event,288,11,0.001298152372444535,0.022913024657302432,2.257774408365452
celebrity,Time-MoE,0,Pooled,event,288,12,0.0014135308053518309,0.0242954401506318,2.389865705778949
celebrity,Time-MoE,0,Pooled,event,288,13,0.0014322591954508074,0.02431074447102017,2.3923176069708862
